7256	3
7056	5496	-16117	
10046	3741	-8229	
8470	10878	-31551	
4337	4197	-8039	
6196	-537	-1420	
12839	6117	-12217	
10889	9504	-19190	
9483	1625	779	
6216	-150	-3373	
6270	9790	-16920	
9206	-564	-1153	
3870	8494	-1647	
3682	4059	-8343	
7056	5496	-16117	
141	-158	-3826	
8673	9819	-14438	
10648	946	-14424	
13139	8109	-32219	
7961	8864	-7970	
6351	7225	-10447	
13409	7373	-15031	
8624	5040	-9240	
8647	8738	-13226	
9279	-663	-3786	
13539	6047	-14471	
5122	7096	-13906	
3515	467	-5231	
9840	-1817	-7638	
6207	-111	-3474	
7100	8992	-16046	
9520	349	-13194	
2261	686	-3261	
6645	373	-8450	
3515	467	-5231	
7870	11051	-10544	
12746	222	-6496	
9142	-1134	-2255	
9561	127	-9422	
9185	10891	-16601	
9784	1344	-8592	
3964	44	-3459	
3515	467	-5231	
12638	3619	-8395	
6751	1316	-10465	
8661	8727	-13294	
2261	686	-3261	
8247	8692	-22237	
3964	44	-3459	
12751	-4468	-1979	
8328	-972	-2413	
3682	4059	-8343	
6340	36	-3290	
6829	1359	-10422	
7072	1512	-14209	
12722	-4618	-3831	
4945	7210	-13647	
7281	7488	-20093	
6128	-166	-3570	
7053	3952	-16954	
13015	9066	-17556	
12326	10952	-12459	
11966	5811	-32381	
6216	-65	-3493	
6223	-157	-3368	
12271	148	-26637	
3557	5005	-5396	
10471	873	-16138	
9336	-741	-3655	
5747	61	-3531	
3704	-626	463	
9921	-1703	-689	
10393	2452	-16925	
10848	2959	-18370	
8342	-1233	-2239	
8673	9819	-14438	
6295	10168	-15231	
8582	6684	-9963	
6820	1732	-9147	
6023	6221	-16076	
5871	9182	-11757	
10744	245	-20003	
13804	-2306	-3896	
6374	6018	-14413	
5122	7096	-13906	
10330	505	-12572	
10006	830	-6715	
7021	7406	-19145	
13214	9792	-15110	
8661	8727	-13294	
4230	304	-6291	
8443	6487	-8040	
8674	8332	-11992	
10269	-646	-6546	
7056	5496	-16117	
12800	-3193	-3569	
10424	254	-21240	
12737	-4443	-1912	
7124	7846	-16363	
7225	8026	-17841	
8673	9819	-14438	
8661	8727	-13294	
11892	11002	-22696	
8673	9819	-14438	
12830	330	-7127	
7354	2971	-12940	
6398	1098	-10571	
8525	12715	-15239	
7056	5496	-16117	
7201	2349	-12429	
