7256	39
0.9	6096	403.6	14.243	0	9850.26	18415.851	1133.255	4526.489	26401.1	16.485	-0.411	0.411	0.411	-3.865	-3.042	0.412	-8.514	-8.103	0.411	0	0	0	0.895	0.043	5.499	0.912	-0.013	-5.499	101268.765	0	0	10.6	0	0	0.099	0	0	-24.624	
0.95	6096	426	6.064	-0.301	9778.16	19413.755	1318.321	5280.904	29416.1	0	3.893	-4.765	-4.329	3.893	-4.765	-4.329	0.241	-4.088	-4.329	0.827	0.827	0	0.524	0.048	2.293	0.511	-0.266	-2.338	44515.74	110.4	0	5.6	0.023	9.2	-0.137	0.842	55701.668	-24.624	
0.8	3048	438.8	15.279	0.343	9786.94	19595.192	1133.255	5658.112	31217.2	22.28	1.67	-1.67	-1.67	1.241	-2.099	-1.67	-4.025	-4.86	-0.835	-2.684	-2.684	0	1.31	-0.21	7	1.404	0.371	-7.166	137166.344	-37.3	1.88	15.6	-0.091	-7.9	0.854	0.985	71743.46	-4.812	
0.95	12192	270.3	18.347	-0.107	9778.14	19413.755	1318.321	5280.904	11847.6	22.694	-0.084	0.084	0.084	-0.084	0.084	0.084	-9.384	-9.3	0.084	0.579	0.579	0	0.347	0.034	3.058	0.371	-0.024	-3.065	59367.263	1.9	0.038	15.3	-0.016	0.5	0.024	0.792	23221.44	-56.5	
0.95	9144	342.4	3.329	0.06	9788.35	20502.376	2428.897	5280.904	19008.8	0	-0.738	-3.262	-1.262	-0.738	-3.262	-1.262	-0.27	-1.533	-1.263	1.05	1.05	0	0.295	0.006	0.5	0.294	-0.028	-0.544	10251.188	3.2	0.768	-2.8	0.012	-0.1	-0.036	0.792	36907.992	-44.436	
1.2	6096	538.1	8.007	0.282	9788.31	20502.376	2428.897	5280.904	46935.3	-2	-0.752	-3.248	-1.248	-0.752	-3.248	-1.248	-6.404	-7.652	-1.248	-1.827	-1.827	0	0.352	-0.099	4.5	0.385	0.184	-4.611	92260.692	-22.8	1.643	6.3	-0.022	-1.6	0.41	0.985	74787.11	-24.624	
0.95	6096	426	17.242	0.031	9778.14	19413.755	1318.321	5280.904	29416.1	20.485	-0.092	0.092	0.092	-11.235	-11.051	0.092	-8.035	-7.944	0.091	0.454	0.454	0	0.923	0.049	6.998	0.946	-0.013	-6.997	135857.457	0.5	0	12.8	0	-1.8	0.112	0.985	65161.69	-24.624	
0.95	6096	426	1.091	0.093	9787.7	19776.629	1133.255	5846.715	29416.1	-1.909	-5.272	1.272	3.272	-5.272	1.272	3.272	-0.412	2.86	3.272	-2.081	-2.081	0	0.281	-0.071	-0.432	0.294	-0.063	0.471	-8543.504	-100.4	0.002	0.6	0.037	-1.1	0.205	0.658	43529.332	-24.624	
0.95	9144	342.4	4.654	0	9864.63	19504.473	2428.897	4337.886	19008.8	0	-1.594	-2.099	-0.253	-1.594	-2.099	-0.253	-1.43	-1.683	-0.253	-0.121	-0.121	0	0.329	-0.003	0.997	0.331	0.011	-1.007	19445.96	0	0.156	0	0	0	0.033	0.791	36861.391	-44.436	
0.6	3048	329.1	13.446	-0.561	9786.94	19595.192	1133.255	5658.112	17559.7	20.892	6.37	-6.37	-6.37	6.37	-6.37	-6.37	2.478	-3.038	-5.516	-3.94	-3.94	0	0.932	-0.074	3.5	0.983	0.056	-3.69	68583.172	87	0.147	8.3	-0.039	23.3	0.221	0.876	63804.336	-4.812	
0.95	6096	426	2.214	-0.12	9778.17	19413.755	1318.321	5280.904	29416.1	-0.786	-0.632	-3.368	-1.368	-0.632	-3.368	-1.368	1.022	-0.346	-1.368	0.767	0.767	0	0.315	0.041	0.181	0.308	-0.109	-0.178	3513.89	46	0	0.9	0.025	2.9	-0.099	0.648	42867.792	-24.624	
0.95	12192	270.3	2.053	-0.629	9778.16	19413.755	1318.321	5280.904	11847.6	-0.947	2.382	-6.382	-4.382	2.382	-6.382	-4.382	3.389	-0.992	-4.381	8.174	8.174	0	0.108	0.162	0.056	0.089	-0.995	0	1087.17	192.1	-0.144	-1.1	0.009	5.1	-0.35	0.562	16477.84	-56.5	
0.5	3048	274.3	15.121	0.038	9918.54	17690.104	1133.255	3772.074	12194.2	24.493	-0.456	0.456	0.456	-0.456	0.456	0.456	-2.112	-1.69	0.422	-0.472	-0.472	0	0.907	0.01	2.999	0.922	0.014	-2.999	53052.622	-0.8	0	9.5	0	3.1	0.084	0.839	57855.762	-4.812	
0.9	6096	403.6	14.243	0	9850.26	18415.851	1133.255	4526.489	26401.1	16.485	-0.411	0.411	0.411	-3.865	-3.042	0.412	-8.514	-8.103	0.411	0	0	0	0.895	0.043	5.499	0.912	-0.013	-5.499	101268.765	0	0	10.6	0	0	0.099	0	0	-24.624	
0.1	0	66.1	-1.271	0	9969.19	15059.268	1318.321	943.019	709.3	-1.028	20	20	0	20	20	0	0	0	0	0	0	0	0.019	-0	1	0.016	0.01	-0.875	15059.268	0	-1.199	0	0.168	0	-0.015	0	0	15	
1.5	12192	426.9	11.951	0	9918.34	17690.104	1133.255	3772.074	29537	-2	-2.696	-1.304	0.696	-2.696	-1.304	0.696	-13.579	-12.883	0.696	0	0	0	0.303	0.042	5.5	0.313	-0.015	-5.5	97295.572	0	0	6.6	0	0	0.091	0	0	-56.5	
0.95	6096	426	9.408	-0.206	9939.54	17417.948	1133.255	3551.628	29416.1	4.816	1.154	-1.154	-1.154	1.154	-1.154	-1.154	-3.032	-4.187	-1.155	-0.366	-0.366	0	0.802	0.043	4.708	0.806	-0.038	-4.721	82003.699	41.3	0	10.9	0.013	6.1	-0.011	0.985	65161.69	-24.624	
0.95	6096	426	12.78	-0.311	9787.69	19776.629	1133.255	5846.715	29416.1	11.559	2.249	-2.249	-2.249	-2.029	-6.527	-2.249	-4.906	-7.155	-2.249	-2.593	-2.593	0	0.774	0.05	5.5	0.798	-0.117	-5.645	108771.459	85.7	0.137	8.9	-0.016	19.1	0.026	0.985	65161.69	-24.624	
1.5	12192	426.9	10.241	0.122	9918.45	17690.104	1133.255	3772.074	29537	-2	4.288	-8.288	-6.288	4.288	-8.288	-6.288	-2.507	-8.795	-6.288	-9.996	-9.996	0	0.259	-0.16	4	0.325	0.245	-4.331	70760.416	-60.5	4.427	5.1	-0.036	-10.5	0.799	0.985	47261.285	-56.5	
0.95	9144	342.4	16.425	0.212	9778.14	19413.755	1318.321	5280.904	19008.8	18.849	1.97	-1.97	-1.97	1.97	-1.97	-1.97	-6.798	-8.768	-1.97	-8.83	-8.83	0	0.605	-0.193	4.5	0.694	0.293	-4.827	87361.898	-62.7	3.648	8.2	-0.084	-14.8	0.87	0.985	45901.985	-44.436	
1.2	6096	538.1	8.754	-0.291	9788.3	20502.376	2428.897	5280.904	46935.3	-2	-3.479	-0.521	1.479	-3.479	-0.521	1.479	-8.937	-7.458	1.479	1.894	1.894	0	0.361	0.166	5	0.351	-0.202	-4.908	102511.88	22.5	-1.638	7	-0.026	2	-0.197	0.985	74787.11	-24.624	
1.5	12192	426.9	7.164	-0.02	9918.48	17690.104	1133.255	3772.074	29537	-2	-6.234	2.234	4.234	-6.234	2.234	4.234	-5.36	-1.125	4.235	1.552	1.552	0	0.239	0.073	2.5	0.234	-0.086	-2.388	44225.26	-8.6	-1.704	2.7	0.014	0.4	-0.102	0.985	47261.285	-56.5	
1.5	12192	426.9	11.461	0.041	9918.38	17690.104	1133.255	3772.074	29537	-2	-3.53	-0.47	1.53	-3.53	-0.47	1.53	-12.028	-10.498	1.53	0.01	0.01	0	0.312	0.036	4.968	0.329	-0.021	-4.974	87884.437	-19.4	0.017	7.5	0	-3.9	0.121	0.985	47261.285	-56.5	
0.95	6096	426	3.773	0	9778.17	19413.755	1318.321	5280.904	29416.1	0	-2.01	-1.99	0.01	-2.01	-1.99	0.01	-0.533	-0.523	0.01	0.001	0.001	0	0.375	0.004	0.998	0.376	0.003	-1	19374.927	0	0.028	0	0	0	0.022	0.682	45117.028	-24.624	
1.2	6096	538.1	6.527	-0.15	9788.33	20502.376	2428.897	5280.904	46935.3	-2	-4.472	0.472	2.472	-4.472	0.472	2.472	-5.763	-3.291	2.472	1.488	1.488	0	0.325	0.177	3.5	0.299	-0.334	-3.275	71758.316	81.9	-4.843	5.3	-0.137	7.7	-0.41	0.985	74787.11	-24.624	
0.8	6096	358.7	16.879	0	9778.18	19413.755	1318.321	5280.904	20860.1	27.31	-0.418	0.418	0.418	-0.418	0.418	0.418	-6.866	-6.657	0.209	0	0	0	0.971	0.038	4.999	0.988	-0.012	-4.999	97049.361	0	0	10.9	0	0	0.083	0	0	-24.624	
0.6	3048	329.1	4.43	0	9786.93	19595.192	1133.255	5658.112	17559.7	6.102	-0.067	0.067	0.067	-0.067	0.067	0.067	-1.079	-1.02	0.059	0.001	0.001	0	0.409	0.003	0.997	0.41	0.002	-0.999	19536.406	0	0.026	0	0	0	0.018	0.502	36563.672	-4.812	
0.95	6096	426	2.843	0.001	9787.7	19776.629	1133.255	5846.715	29416.1	-0.157	-5.101	1.101	3.101	-5.101	1.101	3.101	-1.222	1.879	3.101	-1.644	-1.644	0	0.316	-0.025	0.5	0.323	0.087	-0.346	9888.315	-12.9	-2.693	-0.9	-0.046	-0.5	0.098	0.647	42801.638	-24.624	
0.95	9144	342.4	4.828	0	9788.35	20502.376	2428.897	5280.904	19008.8	0	-1.424	-1.92	-0.248	-1.424	-1.92	-0.248	-1.824	-2.072	-0.248	-0.112	-0.112	0	0.316	-0.003	0.997	0.318	0.011	-1.007	20440.869	0	0.155	0	0	0	0.031	0.791	36861.391	-44.436	
