379	21
-1366	-2625474	-22540438	-1679	-2307523	-21343694	-247	-1646077	-13482724	-407	-1600780	-8505836	-379	-1390002	-6328898	-1669	-574991	-4692336	-164	28359	-2050294	
233410	353085984	-67798664	224137	311165728	-51732792	167367	188647104	-10634255	89113	74349264	5398792	59858	41090700	4030549	31179	15120160	3339692	7634	4571228	-4607927	
422794	745473344	-70922592	411630	669095360	-57895896	331461	436708800	-20632358	206706	193808960	1304316	151492	114364800	-758893	92548	53710764	-6286043	35451	18436636	-7626071	
233894	380090912	-183238624	226519	338016576	-167934128	180337	210345152	-104597000	102110	84236736	-53643080	71615	45571120	-36983496	39449	19353732	-20536304	15649	4070851	-7900329	
196358	443498496	-88940864	185285	408480192	-84683312	113602	315939488	-117357872	157417	137651248	55210204	114105	77184944	42339632	68334	31535364	25771592	25752	5744412	9145703	
4178	-6403176	36375236	3059	-7068088	33501360	-10556	-4778272	2241280	-395	-11442232	-1366200	-6373	-9908740	-16479708	-2574	-4920033	-882478	-7000	-2232394	-9435644	
282291	484973504	-183324192	275216	434111040	-166034112	222681	278019648	-99353072	132430	118043216	-47532752	94972	67536464	-32628630	53477	31583232	-19693304	18735	11701460	-11085982	
205098	394047104	-9065280	230077	355745152	-10536093	185316	224323280	-12593198	110485	92697360	-13381359	75188	51701420	-9651285	43339	23063044	-5209070	20286	5577672	-2030048	
-36226	-55556348	79713904	-29503	-49513052	77308208	-11681	-37815608	54198424	-12794	-12678626	16382013	-5262	-8843549	6746150	-8608	-3874434	-1928243	-204	-1473968	-3796929	
277191	463404224	-75376328	270126	413487168	-63777732	211447	263290976	-36035312	122955	113557424	-16594062	87759	66995236	-11216645	50678	32753728	-8427638	19508	13433777	-6166965	
316586	547049408	29676948	307743	489727744	42529880	247531	315783936	68726768	150351	139101408	60081544	110216	81623088	46285128	69696	37307308	26440120	34019	8840829	9248284	
404998	684585536	-91413880	391532	611541248	-69918824	306027	393375904	-21642612	186381	173680800	8155399	136962	102046824	8788894	86712	46020308	4674324	40288	10944012	2567920	
296964	508524192	7856207	289741	454876000	14574916	228174	293313376	19568148	139775	128962376	14522774	99150	76178048	12148492	58543	37107196	6212798	24480	14329929	584875	
302605	504045728	-187998368	294269	449647360	-167604544	230531	285488096	-100411432	134370	121702096	-44269672	95489	70831416	-27868068	53278	34341956	-16543574	17613	14871648	-9381620	
262531	474565024	262598528	258494	426761696	257875488	204687	282679584	180642992	127718	133570216	97594992	89958	85433904	64701184	59003	46823572	33027038	23610	24238168	6455704	
241685	361660064	-54630784	232813	318200704	-39907100	171753	191598848	-6012194	89064	73293456	9401912	54220	41462892	6133364	31321	14617733	6998804	2758	5449243	-3901452	
350676	598692096	193960320	341396	535115296	192142736	269580	344767712	146280144	164246	152435152	89086856	116749	90432128	58215892	66194	44706348	27361232	19995	21479804	4295282	
-89583	-212294912	-64524108	-104851	-194787648	-62432488	-93482	-131000160	-47107408	-63779	-60918128	-30433300	-47813	-36039404	-23249632	-30664	-15327055	-17452682	-12067	-3536540	-10116508	
340486	563711232	-34903272	328215	502383520	-22118404	254160	320579040	-1251461	151570	140071728	6392308	108121	82523560	5832594	62971	40135708	2371084	26045	15603662	-1834546	
282576	452939552	-151283552	268859	402409792	-139247424	188922	259850128	-99575480	114937	109341008	-37017992	70565	68618304	-19729078	54404	30545476	-8197066	16246	11144106	-9540109	
-83513	-170897648	10694540	-77936	-156094992	10602867	-55074	-115289520	5999085	-51596	-50138752	-19256634	-39469	-29847148	-15516155	-24723	-12931830	-9832433	-10001	-3268270	-4671598	
108386	223447872	113965856	103163	204046144	110744552	66354	151382928	64749140	24723	106125904	-388256	69	101395656	-33254212	34815	20036196	17285514	14714	6340883	3816220	
40730	-5524848	-4572972	37850	-12630880	-6412407	12771	-27782304	-23260960	-8554	-33616668	-41067596	-21399	-26526072	-49277516	5350	3422840	1682853	-3455	2986236	-1971114	
-100643	-165105952	-75489056	-94645	-147135968	-69875992	-67798	-97150088	-41999180	-45184	-39939532	-16545061	-30467	-23142380	-9622647	-17727	-10871804	-6041361	-7985	-3713702	-3660087	
300884	524536512	-9267952	288843	470469440	-5804446	218096	312231616	-11448254	154022	130813160	30387820	109974	72044552	22564482	64962	28941710	11356486	22244	4972663	3604376	
353550	614205376	37372824	344133	550166784	50713928	275783	355975360	73996144	167491	158775520	61548640	120453	95192680	46566256	73167	47184588	24620692	31192	18643310	4736656	
16493	42555972	-82388768	13884	39725300	-78007640	12790	31276176	-49450856	11002	20813060	-28454408	12149	15732702	-19508998	11167	10119512	-10240963	14862	3048346	-2562833	
