65894	115000200	-43162756	64513	103069416	-38118776	52738	66163488	-22393142	32400	27659572	-8162657	22654	15448822	-4238102	12965	6687586	-1409186	3996	2021724	-512467
-118915	-202694784	24018968	-116322	-181205552	17460384	-92324	-116256288	4601318	-56498	-49691664	-782379	-40290	-28210000	-2879970	-24464	-11584454	-6437414	-8196	-2624228	-6460881
404782	681723840	-131724656	393723	608754304	-107330800	308511	389139904	-47542968	182902	168547152	-7945659	131468	99038552	-3573669	77316	47140528	-4949135	29826	17615034	-5672608
-121291	-177767760	-11445838	-116662	-155926576	-9318075	-86038	-92701504	1929434	-43208	-36563448	229466	-30236	-20366494	-1561944	-17512	-8397804	-1424160	-6470	-1796655	-654522
-110848	-199093904	-37020212	-107376	-179045584	-38106940	-85329	-118871592	-33344494	-57870	-55130836	-20237352	-42949	-32623468	-15190143	-27073	-14372037	-12234067	-11949	-3590777	-7459888
-138334	-231475696	35804696	-133854	-206527152	28644094	-104489	-132296080	12906109	-63308	-57837588	4977786	-45495	-33664556	1978292	-28908	-14567971	-2510661	-12220	-3228046	-3434955
468594	767618624	-153981600	451394	683288704	-127353456	348240	433251712	-56976124	204852	187011536	-9306149	148453	108841472	-2345736	91720	48954928	-1506111	42819	11753966	67344
-110976	-199216912	-36295824	-107487	-179146560	-37420424	-85409	-118912736	-32910338	-57890	-55135796	-20039458	-42962	-32623138	-15066872	-27073	-14370068	-12170128	-11948	-3590015	-7434740
81343	133446304	53095160	93259	118059936	42967336	20614	82820688	-32871240	9887	30281968	1934752	-28490	35965160	-39784080	21429	8621081	12813320	-2078	3602375	-381590
466439	765675456	55293952	451133	681411008	66070592	352307	430150144	72258520	207228	180338576	52220296	144562	102510512	34725936	84973	44585328	17525480	37794	10629461	5770356
505732	881630976	-26138662	490351	790229760	-10336870	391417	514428608	20181064	243745	229684480	30320142	180058	135682576	22362672	115618	61437188	9871760	53804	14580736	2581458
334135	561851776	-105933520	323845	501530080	-86584048	257263	319413728	-26962538	152611	136824352	423702	109353	78645528	4151952	66321	35361492	3416915	31064	8453106	1159774
398306	638071872	47359140	382687	566367232	55728140	290816	356443200	47532224	172024	148487392	24278850	114779	85138752	11860576	71006	38424584	6133920	32737	9549126	2406091
-134201	-203329904	52422948	-125258	-179511104	47360336	-90298	-113026848	16212956	-51690	-36662000	10058768	-31269	-18478832	846368	-15186	-6309958	-4295304	-564	-2047996	-5692359
-129738	-218123456	36042828	-123351	-194906384	32372810	-93704	-127563816	16004058	-60704	-49278040	4770180	-41527	-26602656	-1001662	-21495	-10761131	-3165326	-4351	-3688675	-2119580
-128375	-207608928	47230416	-119158	-184878336	43168168	-87564	-121410160	14432276	-53076	-44112040	8427871	-35786	-24475000	-292396	-19210	-10319141	-5322614	-4672	-3765396	-6839162
-126839	-196093552	50632576	-115739	-173845648	43023924	-79616	-114421144	6161784	-49579	-43304972	6853670	-34305	-24715672	999348	-18444	-11286532	-3111316	-7014	-4218108	-5084592
